SN,WRINVSTG_NO,DPRS_CNT,INJPSN_CNT,HNL_DMGE_CNT,PRPRTY_DMGE_AMT,UPRINSTT_NM,FRSTT_NM,WARD_NM,LFDAU_NM,FIRE_OCRN_YMD,FIRE_OCRN_TIME,RCPT_YMD,RCPT_TM,LOC_INFO_X,LOC_INFO_Y,DSP_YMD,DSP_TM,SPT_ARVL_YMD,SPT_ARVL_TM,FSMDEM_YMD,FSMDEM_TM,COMPET_YMD,COMPET_TM,HMG_YMD,HMG_TM,DSP_REQRE_TIME,FIRE_SUPESN_TIME,SPT_FRSTT_DIST,SPT_SAFE_CNTER_DIST,SPT_LFDAU_DIST,SIDO_NM,SIGUNGU_NM,EMD_NM,EMD_SE_NM,LNBR,ROAD_NM,FCLTY_PLACE_LCLAS_NM,FCLTY_PLACE_MCLAS_NM,FCLTY_PLACE_SCLAS_NM,FIRE_TYPE_NM,IGN_BHF,IGN_CAUSE,IGN_HTSRC_NM,IGN_FCTR_SCLAS_NM,IGN_FCTR_LCLAS_NM,IGN_HTSRC_SCLAS_NM,FRST_IGOBJ_LCLAS_NM,FRST_IGOBJ_SCLAS_NM,CMBS_EXPOBJ_LCLAS_NM,CMBS_EXPOBJ_SCLAS_NM,OCRN_CAUSE,ALL_HNF_CNT_SUM,MBLZ_FFPWR_CNT,LYCRG_FIREMAN_CNT,POLICE_CNT,GNRL_CNT,SOLDIER_CNT,ELCTY_GAS_INSTT_CNT,ETC_CNT,MBLZ_EQPMN_CNT,WETHR,TP,HUMIDITY,TIME_UNIT_WS,TIME_UNIT_WD,SPCNWS_CN
1,190104000000000.0,0,0,0,1990745,강원소방본부,양양소방서,양양119안전센터,,20190101,041200,20190101,041236,,,20190101,041434,20190101,042530,20190102,001500,20190102,121500,20190102,054000,001056,194930,11,11,0,강원도,양양군,서면,송천리,,구룡령로2961,임야,산불,사유림,임야,산아래,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,가연성물질의급격한연소/기상(건조/강풍등),1862,152,349,130,331,760,89,51,123,맑음,2.0,19,270,4.0,
2,190110000000000.0,0,0,0,0,강원소방본부,고성소방서,동광119안전센터,,20190110,111400,20190110,111436,,,20190110,111525,20190110,112913,20190110,000030,20190110,120530,20190110,011130,001348,003617,15,6,0,강원도,고성군,토성면,운봉리,522-10,,임야,산불,국유림,임야,산중턱,쓰레기소각장,불꽃/불티,모닥불/연탄/숯,미상,미상,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,화재인지/신고지연,90,28,0,20,0,2,40,0,27,구름조금,5.0,19,45,8.0,
3,190120000000000.0,0,0,0,0,강원소방본부,강릉소방서,내곡119안전센터,,20190119,103900,20190119,103924,,,20190119,104028,20190119,105413,20190119,230820,20190119,111727,20190119,121044,001345,002314,16,17,0,강원도,강릉시,왕산면,목계리,,,임야,산불,사유림,임야,산아래,기타,불꽃/불티,모닥불/연탄/숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,,,,92,25,20,7,20,0,20,0,14,맑음,2.0,56,0,4.0,
4,190120000000000.0,0,0,0,1,강원소방본부,춘천소방서,신북119안전센터,,20190120,122800,20190120,122824,,,20190120,122855,20190120,124219,20190120,141258,20190120,032558,20190120,034058,001324,024339,11,9,0,강원도,춘천시,서면,현암리,12,박사로646,임야,산불,사유림,임야,산아래,기타,불꽃/불티,불꽃/불티,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,,,,156,36,40,40,35,5,0,0,12,맑음,2.0,30,225,4.0,풍랑주의보
5,190122000000000.0,0,0,0,3162,강원소방본부,태백소방서,철암119안전센터,,20190122,115800,20190122,115838,,,20190122,120029,20190122,121413,20190122,162521,20190122,052520,20190122,054050,001344,051107,13,9,0,강원도,태백시,백산동,,54,백산길332-87,임야,산불,국유림,임야,산중턱,기타,마찰/전도/복사,화염전도/복사열,부주의,부주의,기타,기타,,,,146,50,26,16,20,4,30,0,24,구름조금,3.0,31,135,4.0,
6,190125000000000.0,0,0,0,9428,강원소방본부,인제소방서,원통119안전센터,서화119지역대,20190124,034800,20190124,034838,,,20190124,035007,20190124,041755,20190124,173200,20190124,010000,20190124,064051,002748,204205,24,16,2,강원도,인제군,서화면,천도리,178,,임야,산불,사유림,임야,산중턱,미상,미상,미상,미상,미상,미상,미상,,,,221,38,20,10,32,100,0,21,23,맑음,3.0,20,270,4.0,
7,190125000000000.0,0,2,2,0,강원소방본부,원주소방서,문막119안전센터,지정119지역대,20190125,031000,20190125,031019,,,20190125,031041,20190125,031649,20190125,155824,20190125,040001,20190125,053000,000608,004312,14,8,3,강원도,원주시,지정면,가곡리,915,,임야,산불,사유림,임야,평지,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,건초,,,,93,25,15,5,10,0,38,0,13,맑음,4.0,19,270,,한파주의보
8,190126000000000.0,0,0,0,0,강원소방본부,평창소방서,대화119안전센터,방림119지역대,20190126,020900,20190126,020944,,,20190126,021039,20190126,022225,20190126,151921,20190126,033404,20190126,040337,001146,011139,21,21,6,강원도,평창군,방림면,운교리,238,,임야,산불,사유림,임야,산아래,쓰레기소각장,마찰/전도/복사,화염전도/복사열,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,,90,19,9,4,0,0,24,34,10,맑음,1.0,16,315,,풍랑경보
9,190127000000000.0,0,0,0,0,강원소방본부,원주소방서,신림119안전센터,,20190127,025500,20190127,025541,,,20190127,025800,20190127,030401,20190127,033634,20190127,034108,20190127,045512,000601,003707,22,5,0,강원도,원주시,신림면,성남리,33,,임야,산불,사유림,임야,산아래,미상,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,가연성물질의급격한연소,79,30,15,4,0,0,30,0,14,맑음,-13.0,20,315,4.0,풍랑주의보
10,190127000000000.0,0,0,0,0,강원소방본부,춘천소방서,신북119안전센터,,20190127,022200,20190127,022247,,,20190127,022323,20190127,023301,20190127,173000,20190127,053000,20190127,084000,000938,025659,11,7,0,강원도,춘천시,신북읍,유포리,,,임야,산불,국유림,임야,산아래,미상,미상,미상,미상,미상,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등)/화재인지/신고지연,145,21,35,15,50,0,24,0,32,맑음,3.0,25,45,4.0,
