,damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
0,1260.15,05,04,21:30:00,2019,기타,산171,남양,강릉,옥계,강원,04,목요일,04,23:46:00,2019
1,1,05,04,20:00:00,2019,주택화재비화,512-1(임),관산,고양,덕양,경기,05,금요일,04,14:12:00,2019
2,0.15,06,04,16:00:00,2019,입산자실화,산56,명례,기장,장안,부산,06,토요일,04,11:38:00,2019
3,2,06,04,22:00:00,2019,기타,산79,신방,영천,자양,경북,06,토요일,04,13:27:00,2019
4,1.02,07,04,08:40:00,2019,입산자실화,산163,녹동,경주,외동,경북,07,일요일,04,06:21:00,2019
5,0.1,08,04,16:44:00,2019,쓰레기소각,산38-1,문암,음성,원남,충북,08,월요일,04,15:16:00,2019
6,0.06,08,04,15:10:00,2019,기타,산55-1,장동,이천,신둔,경기,08,월요일,04,13:14:00,2019
7,0.01,07,04,14:35:00,2019,입산자실화,산52-1,대백,창원,진해,경남,07,일요일,04,13:53:00,2019
8,0.1,04,04,23:00:00,2019,기타,산42,송전,용인,이동,경기,04,목요일,04,20:14:00,2019
9,0.1,06,04,13:20:00,2019,기타,산247,옥적,여수,화양,전남,06,토요일,04,11:30:00,2019
10,0.01,19,04,18:37:00,2019,담뱃불실화,산57,이매,성남,분당,경기,19,금요일,04,18:20:00,2019
11,0.04,16,04,15:30:00,2019,쓰레기소각,산107-1,김포,풍무,경기,16,화요일,04,12:11:00,2019,
12,0.06,13,04,17:30:00,2019,기타,산201-1,남양주,별내,경기,13,토요일,04,15:12:00,2019,
13,0.16,09,04,14:17:00,2019,담뱃불실화,산86-1,고모,포천,소흘,경기,09,화요일,04,13:08:00,2019
14,0.8,08,04,15:22:00,2019,기타,산25,장속,보은,보은,충북,08,월요일,04,12:04:00,2019
15,0.01,06,04,18:20:00,2019,기타,산11,정,문경,마성,경북,06,토요일,04,17:14:00,2019
16,2,17,04,22:00:00,2019,기타,산6-2,장죽,안성,금광,경기,17,수요일,04,14:29:00,2019
17,0.05,04,04,22:20:00,2019,기타,산145,성대,진천,백곡,충북,04,목요일,04,20:51:00,2019
18,0.02,18,04,17:00:00,2019,기타,산13,남,이장,광주,18,목요일,04,16:29:00,2019,
19,0.02,17,04,17:00:00,2019,기타,산96-1,백석,연천,미산,경기,17,수요일,04,13:41:00,2019
20,0.1,17,04,16:20:00,2019,쓰레기소각,산137,관하,청도,매전,경북,17,수요일,04,13:17:00,2019
21,0.03,16,04,13:00:00,2019,기타,산138,오,기장,장안,부산,16,화요일,04,12:08:00,2019
22,1.2,16,04,06:10:00,2019,주택화재비화,산76-1,제내,경주,외동,경북,15,월요일,04,22:15:00,2019
23,0.03,13,04,16:50:00,2019,기타,24-1,사기소,당진,면천,충남,13,토요일,04,14:29:00,2019
24,0.03,13,04,14:00:00,2019,기타,산41-15,학현,평택,안중,경기,13,토요일,04,12:53:00,2019
25,0.01,09,04,12:30:00,2019,쓰레기소각,산51-4,정곡,진안,진안,전북,09,화요일,04,11:30:00,2019
26,0.09,08,04,19:10:00,2019,기타,산2-1,하남,초일,경기,08,월요일,04,18:30:00,2019,
27,1,07,04,19:30:00,2019,기타,산25,광전,예천,유천,경북,07,일요일,04,16:30:00,2019
28,0.1,07,04,17:30:00,2019,기타,산153-1,노원,상계,서울,07,일요일,04,15:07:00,2019,
29,0.1,06,04,15:55:00,2019,기타,산49-10,삼덕,상주,사벌,경북,06,토요일,04,14:57:00,2019
30,0.01,06,04,14:32:00,2019,입산자실화,산197-2,남송,포항,흥해,경북,06,토요일,04,13:29:00,2019
31,0.01,06,04,10:37:00,2019,입산자실화,산125-1,수성,이천,대구,06,토요일,04,09:59:00,2019,
32,0.1,05,04,16:20:00,2019,기타,산52,용계,영천,북안,경북,05,금요일,04,15:15:00,2019
33,1266.62,05,04,18:00:00,2019,기타,산89-2,원암,고성,토성,강원,04,목요일,04,19:17:00,2019
34,0.05,19,04,19:30:00,2019,입산자실화,산31-38,관성,천안,병천,충남,19,금요일,04,18:09:00,2019
35,0.03,20,04,15:30:00,2019,입산자실화,산102,고성,춘천,사북,강원,20,토요일,04,12:27:00,2019
36,0.03,08,04,14:45:00,2019,기타,산60-21,구수,안성,미양,경기,08,월요일,04,13:37:00,2019
37,0.03,06,04,13:00:00,2019,기타,163-2,도산,당진,정미,충남,06,토요일,04,11:30:00,2019
38,0.1,06,04,13:00:00,2019,기타,산136,화산,영천,화산,경북,06,토요일,04,12:09:00,2019
39,2,07,04,02:30:00,2019,입산자실화,산45,상원,달성,가창,대구,06,토요일,04,20:28:00,2019
40,0.3,07,04,12:21:00,2019,기타,산62,와석,영월,김삿갓,강원,07,일요일,04,10:39:00,2019
41,0.01,08,04,14:30:00,2019,주택화재비화,산24-1,창기,태안,안면,충남,08,월요일,04,12:32:00,2019
42,0.7,09,04,17:00:00,2019,기타,산178외 3필지,엄소,가평,설악,경기,09,화요일,04,13:18:00,2019
43,0.3,12,04,14:42:00,2019,쓰레기소각,산14-1외3필,월오,청주,상당,충북,12,금요일,04,13:39:00,2019
44,0.01,13,04,16:45:00,2019,쓰레기소각,6-5,보령,남곡,충남,13,토요일,04,15:57:00,2019,
45,0.1,15,04,16:21:00,2019,입산자실화,산1-3,미원,청주,미원,충북,15,월요일,04,15:38:00,2019
46,1.5,16,04,15:33:00,2019,기타,산2-1외25필,유성,대정,대전,16,화요일,04,13:40:00,2019,
47,0.05,16,04,19:00:00,2019,입산자실화,산129-1,삼전,논산,가야곡,충남,16,화요일,04,17:14:00,2019
48,0.12,17,04,17:40:00,2019,기타,산151-265외3필,문호,양평,서종,경기,17,수요일,04,14:57:00,2019
49,0.1,18,04,13:43:00,2019,기타,산140,홍계,포항,대송,경북,18,목요일,04,10:53:00,2019
50,0.03,20,04,12:00:00,2019,기타,산3,구왕,공주,계룡,충남,20,토요일,04,10:12:00,2019
51,3.6,05,04,12:00:00,2019,기타,산43-2,대각,포항,대송,경북,05,금요일,04,02:50:00,2019
52,0.6,08,04,17:00:00,2019,기타,산34-2,정자,성남,분당,경기,08,월요일,04,13:34:00,2019
53,1.5,09,04,13:59:00,2019,담뱃불실화,산113-1,동천,평택,진위,경기,09,화요일,04,11:15:00,2019
54,0.01,07,04,16:40:00,2019,쓰레기소각,214-1,동천,평택,진위,경기,07,일요일,04,16:25:00,2019
55,0.04,07,04,14:10:00,2019,기타,산1-11,대자,고양,덕양,경기,07,일요일,04,13:22:00,2019
56,0.5,06,04,17:40:00,2019,입산자실화,산41,치산,영천,신녕,경북,06,토요일,04,13:45:00,2019
57,0.01,05,04,16:50:00,2019,담뱃불실화,산107,중촌,산청,신안,경남,05,금요일,04,15:57:00,2019
58,0.01,20,04,12:55:00,2019,기타,9임,존도,문경,산양,경북,20,토요일,04,12:07:00,2019
59,0.05,17,04,23:30:00,2019,입산자실화,산68,동,도,대구,17,수요일,04,20:49:00,2019,
60,0.01,16,04,18:20:00,2019,입산자실화,산278,초곡,창녕,장마,경남,16,화요일,04,17:01:00,2019
61,0.02,22,04,12:40:00,2018,기타,산57,마,안동,임동,경북,22,일요일,04,11:03:00,2018
62,0.01,22,04,16:23:00,2018,입산자실화,산46-1,성내,제천,금성,충북,22,일요일,04,15:16:00,2018
63,3,21,04,23:00:00,2018,입산자실화,산18-1,합강,인제,인제,강원,21,토요일,04,11:35:00,2018
64,0.01,27,04,15:00:00,2018,입산자실화,산1-4,남동,만수,인천,27,금요일,04,12:56:00,2018,
65,0.02,30,04,07:50:00,2018,입산자실화,산91,감곡,사천,정동,경남,30,월요일,04,06:34:00,2018
66,0.03,29,04,17:48:00,2018,기타,산10-2,대덕,와,대전,29,일요일,04,16:11:00,2018,
67,0.02,30,04,15:50:00,2018,입산자실화,산48-1,장선,완주,운주,전북,30,월요일,04,14:09:00,2018
68,0.01,29,04,16:20:00,2018,입산자실화,산21,가당,무주,부남,전북,29,일요일,04,15:02:00,2018
69,0.15,29,04,18:00:00,2018,입산자실화,산11-2,석수,안양,만안,경기,29,일요일,04,14:56:00,2018
70,0.1,29,04,16:42:00,2018,입산자실화,산78-1,선교,상주,화동,경북,29,일요일,04,15:29:00,2018
71,0.1,28,04,15:50:00,2018,기타,산6-1외1개소,용각,안동,일직,경북,28,토요일,04,13:52:00,2018
