"		지점번호",지점명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),"	최대풍속일자",최대순간풍속(m/s),최대순간풍속풍향(deg),"	최대순간풍속일자","	"
"		216",태백,Jan.17,1.5,6.8,230,2017.1.27,16.7,270,2017.1.27,
"		216",태백,Feb.17,1.7,8.2,230,2017.2.19,17.6,250,2017.2.16,
"		216",태백,Mar.17,1.4,7.4,70,2017.3.14,15,250,2017.3.9,
"		216",태백,Apr.17,2,8.6,200,2017.4.14,18.1,180,2017.4.14,
"		216",태백,May.17,1.8,8.1,200,2017.5.12,16.1,250,2017.5.6,
"		216",태백,Jun.17,1.5,8.5,50,2017.6.1,13.5,70,2017.6.1,
"		216",태백,Jul.17,1.5,7.1,230,2017.7.3,16.4,200,2017.7.3,
"		216",태백,Aug.17,1.3,6.6,230,2017.8.21,13.7,270,2017.8.24,
"		216",태백,Sep.17,1.3,6.5,230,2017.9.19,15.3,180,2017.9.19,
"		216",태백,Oct.17,1.2,7.2,20,2017.10.22,16.7,360,2017.10.22,
"		216",태백,Nov.17,1.8,8.4,250,2017.11.25,16.2,230,2017.11.10,
"		216",태백,Dec.17,1.8,6.7,340,2017.12.16,15.4,250,2017.12.11,
"		216",태백,Jan.18,1.6,6.4,230,2018.1.18,16.5,320,2018.1.10,
"		216",태백,Feb.18,1.7,7,230,2018.2.14,18.2,230,2018.2.23,
"		216",태백,Mar.18,1.9,7.7,50,2018.3.15,18.5,250,2018.3.1,
"		216",태백,Apr.18,1.9,10.4,250,2018.4.10,20.2,250,2018.4.10,
"		216",태백,May.18,1.9,7.3,230,2018.5.16,16,340,2018.5.4,
"		216",태백,Jun.18,1.5,10.4,230,2018.6.26,22.5,250,2018.6.26,
"		216",태백,Jul.18,1.5,6.2,20,2018.7.29,14.9,250,2018.7.1,
"		216",태백,Aug.18,1.5,8.2,230,2018.8.21,17.3,270,2018.8.21,
"		216",태백,Sep.18,1.3,6,200,2018.9.23,13.5,250,2018.9.7,
"		216",태백,Oct.18,1.5,9.1,360,2018.10.6,17.9,360,2018.10.6,
"		216",태백,Nov.18,1.1,8.7,230,2018.11.8,17.7,230,2018.11.8,
"		216",태백,Dec.18,1.3,6.7,340,2018.12.13,15.1,250,2018.12.19,
"		216",태백,Jan.19,1.4,5.6,340,2019.1.4,14.3,270,2019.1.28,
"		216",태백,Feb.19,1.5,6,230,2019.2.15,12.4,320,2019.2.4,
"		216",태백,Mar.19,1.7,6.6,230,2019.3.15,15.3,250,2019.3.21,
"		216",태백,Apr.19,1.6,7.4,70,2019.4.8,14.9,340,2019.4.8,
"		216",태백,May.19,1.8,7.5,230,2019.5.27,15.6,250,2019.5.27,
"		216",태백,Jun.19,1.6,6.3,50,2019.6.21,10.8,340,2019.6.7,
"		216",태백,Jul.19,1.6,6.4,230,2019.7.30,13.1,250,2019.7.30,
"		216",태백,Aug.19,1.4,6.2,250,2019.8.7,12.5,230,2019.8.7,
"		216",태백,Sep.19,1.4,11.2,230,2019.9.7,21.5,250,2019.9.7,
"		216",태백,Oct.19,1.4,7.6,360,2019.10.3,16,360,2019.10.3,
